data,canal_marketing,investimento_marketing,roi_marketing,volume_vendas,ticket_medio,clientes_recorrentes,churn_rate,nps,custo_operacional,faturamento,inadimplencia
2022-02-27,TV,27561.68,2.93,3900,59.95,812,0.1438,65,109654.19,233805.0,0.1575
2022-02-28,Google Ads,26835.07,6.36,562,56.73,1679,0.146,77,138584.06,31882.26,0.0671
2022-03-01,TV,29726.34,6.19,2860,173.4,1453,0.098,51,148574.68,495924.0,0.0115
2022-03-02,WhatsApp,3535.88,4.09,3557,175.51,492,0.0571,48,106654.68,624289.07,0.0452
2022-03-03,Facebook Ads,18427.72,0.83,372,159.01,2989,0.1235,28,79529.81,59151.72,0.0501
2022-03-04,Facebook Ads,36294.85,2.82,1250,102.91,2631,0.0179,37,25444.25,128637.5,0.0654
2022-03-05,Google Ads,10427.73,2.69,3489,173.19,1547,0.0471,69,60705.4,604259.91,0.0804
2022-03-06,Facebook Ads,10577.13,6.58,118,130.97,206,0.1479,97,88006.22,15454.46,0.1442
2022-03-07,Rádio,999.49,1.16,1716,95.65,138,0.1231,7,149972.23,164135.4,0.0241
2022-03-08,Facebook Ads,22155.36,6.54,3278,115.59,2299,0.1412,58,23412.34,378904.02,0.1024
2022-03-09,TV,44195.35,5.52,4181,59.87,1029,0.0912,54,119996.09,250316.47,0.1047
2022-03-10,TV,3069.1,5.99,511,191.74,511,0.0641,1,149846.33,97979.14,0.127
2022-03-11,Outdoor,9960.38,3.74,841,142.87,2806,0.1471,25,121767.24,120153.67,0.069
2022-03-12,TV,15849.18,5.6,2771,159.69,2551,0.0499,62,116235.9,442500.99,0.0594
2022-03-13,Outdoor,36720.37,5.07,2879,151.49,429,0.1148,16,42508.76,436139.71,0.1019
2022-03-14,TV,32211.46,6.27,2724,150.16,450,0.0859,58,5487.56,409035.84,0.1353
2022-03-15,Rádio,21089.22,3.85,614,52.59,1152,0.0381,87,37768.13,32290.26,0.0185
2022-03-16,Outdoor,38073.91,4.05,306,128.81,600,0.0075,94,119521.02,39415.86,0.0658
2022-03-17,Instagram,30676.74,5.33,1047,173.26,1459,0.0606,15,20555.77,181403.22,0.1596
2022-03-18,WhatsApp,44854.02,1.31,2541,56.68,2758,0.0844,57,47937.16,144023.88,0.102
2022-03-19,Google Ads,40992.32,3.77,1928,193.42,494,0.0316,63,86563.26,372913.76,0.1908
2022-03-20,TV,13014.27,7.79,3698,113.62,2149,0.0651,49,89072.49,420166.76,0.1748
2022-03-21,Facebook Ads,13936.21,0.78,2267,93.48,2017,0.0942,84,83733.36,211919.16,0.0753
2022-03-22,TV,6705.15,2.87,1756,129.77,1967,0.1087,25,147228.11,227876.12,0.148
2022-03-23,Facebook Ads,17179.75,2.86,701,170.18,378,0.0126,16,6781.41,119296.18,0.0621
2022-03-24,WhatsApp,49977.42,5.25,811,121.21,1981,0.1013,45,75701.78,98301.31,0.0433
2022-03-25,WhatsApp,20584.68,1.29,1303,146.77,2040,0.0132,67,78140.99,191241.31,0.1774
2022-03-26,WhatsApp,11414.18,5.21,1491,124.99,819,0.0091,49,47531.71,186360.09,0.0765
2022-03-27,Facebook Ads,38242.9,1.21,2796,144.69,1532,0.0271,42,81135.33,404553.24,0.0486
2022-03-28,TV,27352.31,1.21,3372,70.7,2595,0.0998,47,102625.58,238400.4,0.1933
2022-03-29,WhatsApp,7905.27,5.96,3231,55.8,174,0.0127,67,102549.61,180289.8,0.0159
2022-03-30,Rádio,19344.14,2.93,3830,70.54,253,0.008,18,17739.26,270168.2,0.0797
2022-03-31,Outdoor,21016.25,7.83,2766,92.88,2865,0.0221,24,121356.7,256906.08,0.0173
2022-04-01,Facebook Ads,37814.57,0.78,649,88.0,692,0.1427,71,139952.93,57112.0,0.1058
2022-04-02,Facebook Ads,1523.23,3.84,4841,142.28,1094,0.1366,17,22923.72,688777.48,0.0862
2022-04-03,TV,13816.47,1.35,4082,118.38,639,0.0175,50,65412.84,483227.16,0.1469
2022-04-04,Facebook Ads,26121.02,3.14,1344,55.82,1636,0.0491,17,79203.78,75022.08,0.1913
2022-04-05,Facebook Ads,13807.91,7.99,3986,55.23,2459,0.1424,57,24549.14,220146.78,0.1087
2022-04-06,WhatsApp,31607.49,7.17,4112,63.59,2458,0.0192,63,77990.69,261482.08,0.0642
2022-04-07,TV,24352.44,0.86,2649,102.96,1189,0.0187,70,34994.53,272741.04,0.1757
2022-04-08,WhatsApp,18404.66,4.72,3304,50.93,104,0.0175,56,140627.34,168272.72,0.1249
2022-04-09,Outdoor,47485.83,5.36,945,124.1,2389,0.1466,16,70028.2,117274.5,0.1152
2022-04-10,Outdoor,31791.9,2.07,4645,104.1,1124,0.1128,58,149260.68,483544.5,0.0458
2022-04-11,WhatsApp,6932.1,1.59,143,133.32,891,0.0361,66,11744.12,19064.76,0.0177
2022-04-12,Outdoor,28224.54,7.28,758,158.12,2882,0.0117,85,23499.21,119854.96,0.0977
2022-04-13,TV,39146.23,7.77,4923,87.65,2351,0.145,14,69265.57,431500.95,0.1103
2022-04-14,Google Ads,35570.24,7.94,4030,73.56,541,0.0667,94,131782.1,296446.8,0.0341
2022-04-15,WhatsApp,9018.42,6.42,2967,91.71,1034,0.0918,99,85507.74,272103.57,0.0213
2022-04-16,Rádio,48634.79,5.48,3747,50.26,2670,0.0455,25,111189.77,188324.22,0.0511
2022-04-17,Rádio,22716.28,3.09,2882,68.0,2956,0.115,47,66416.66,195976.0,0.022
2022-04-18,Facebook Ads,8371.74,1.79,1791,162.62,1042,0.0335,13,10874.25,291252.42,0.0207
2022-04-19,Outdoor,9419.69,1.09,2325,83.42,2044,0.1191,80,98932.82,193951.5,0.0944
2022-04-20,Rádio,5362.63,5.7,3166,199.14,1982,0.0384,8,96930.21,630477.24,0.1639
2022-04-21,Facebook Ads,40274.15,6.39,2047,75.17,1010,0.0192,6,15357.06,153872.99,0.1362
2022-04-22,Google Ads,6540.51,6.7,1465,168.32,1936,0.0744,90,29777.81,246588.8,0.1391
2022-04-23,TV,6693.7,7.35,3230,155.76,2322,0.1229,91,74042.59,503104.8,0.0599
2022-04-24,TV,42598.34,7.1,4633,98.32,2095,0.0608,54,69762.45,455516.56,0.0121
2022-04-25,TV,17557.9,8.0,4621,99.61,152,0.0092,11,114100.54,460297.81,0.0956
2022-04-26,Rádio,2027.47,2.33,1067,134.53,1019,0.0852,16,61174.9,143543.51,0.0817
2022-04-27,Google Ads,3068.82,6.22,1504,177.86,1121,0.1037,72,101178.53,267501.44,0.19
2022-04-28,Rádio,7537.44,4.9,585,107.93,786,0.1124,7,107141.41,63139.05,0.0237
2022-04-29,Outdoor,11062.97,2.46,1855,59.18,1415,0.0633,90,98525.56,109778.9,0.1575
2022-04-30,Rádio,33424.74,7.86,3730,106.16,2330,0.0191,41,91438.21,395976.8,0.0832
2022-05-01,Google Ads,8287.65,7.23,3068,81.1,277,0.0897,75,121824.1,248814.8,0.1676
2022-05-02,Google Ads,6384.28,1.46,1679,190.88,2619,0.0528,36,100280.51,320487.52,0.104
2022-05-03,Outdoor,38353.6,0.7,2895,154.59,1770,0.1423,19,125956.73,447538.05,0.1659
2022-05-04,Google Ads,33717.24,5.66,150,57.62,1665,0.0779,0,97319.4,8643.0,0.0987
2022-05-05,Google Ads,22048.55,5.03,1759,93.95,2110,0.0735,8,28051.09,165258.05,0.0864
2022-05-06,TV,27690.83,7.52,4400,57.53,494,0.0498,23,49869.58,253132.0,0.1931
2022-05-07,Outdoor,15943.21,2.26,2887,174.5,2437,0.0541,33,52901.52,503781.5,0.0801
2022-05-08,Instagram,24383.77,1.13,4728,185.94,1397,0.0793,35,18617.74,879124.32,0.163
2022-05-09,Instagram,25580.3,2.44,2255,66.84,1669,0.0495,3,105384.47,150724.2,0.0227
2022-05-10,Google Ads,19668.24,0.64,4446,116.04,647,0.1344,28,91291.12,515913.84,0.0219
2022-05-11,Instagram,45375.32,0.77,4330,189.78,2254,0.0687,86,90514.46,821747.4,0.0932
2022-05-12,Instagram,1295.06,7.36,3261,71.78,2753,0.0473,98,74385.01,234074.58,0.1213
2022-05-13,Google Ads,39217.48,3.14,1714,93.79,1231,0.0275,15,83753.07,160756.06,0.1256
2022-05-14,Instagram,6656.95,3.58,2836,95.64,847,0.1025,7,6172.66,271235.04,0.0169
2022-05-15,Rádio,39978.59,0.64,506,54.51,2588,0.0087,90,18955.97,27582.06,0.1424
2022-05-16,Facebook Ads,30987.64,2.53,3479,55.44,884,0.0702,38,104086.18,192875.76,0.0347
2022-05-17,Outdoor,42242.27,6.54,4297,192.92,2082,0.0848,57,42912.69,828977.24,0.1915
2022-05-18,Facebook Ads,5326.96,5.12,1484,135.66,406,0.0543,11,20647.17,201319.44,0.0734
2022-05-19,Google Ads,28169.54,6.15,3795,96.0,2814,0.1137,43,52655.01,364320.0,0.0597
2022-05-20,TV,25303.85,3.85,4599,106.8,2459,0.103,3,41899.97,491173.2,0.0653
2022-05-21,Outdoor,35456.56,2.82,3002,157.23,57,0.1459,24,9259.01,472004.46,0.1881
2022-05-22,Google Ads,26947.38,4.12,1729,104.98,2569,0.0788,69,64530.88,181510.42,0.1017
2022-05-23,TV,27266.36,2.92,3362,84.16,2269,0.083,66,8919.23,282945.92,0.0926
2022-05-24,Facebook Ads,21765.0,6.79,1126,65.28,2193,0.0406,38,5056.67,73505.28,0.1175
2022-05-25,Google Ads,15787.3,2.73,3089,159.34,2771,0.0609,23,119908.69,492201.26,0.1868
2022-05-26,Outdoor,24372.09,5.45,2324,77.08,2705,0.0089,84,50670.89,179133.92,0.0686
2022-05-27,Outdoor,6365.37,1.53,3020,60.45,1379,0.1049,5,87300.03,182559.0,0.0444
2022-05-28,WhatsApp,48094.91,5.65,4415,114.04,2571,0.0502,96,48173.86,503486.6,0.1231
2022-05-29,Rádio,35863.33,7.35,4368,55.94,2023,0.0834,71,139853.44,244345.92,0.1034
2022-05-30,Instagram,47647.12,5.06,2883,194.75,1538,0.042,32,110731.28,561464.25,0.0218
2022-05-31,TV,11723.01,4.7,1513,144.09,663,0.0951,47,58529.69,218008.17,0.1092
2022-06-01,WhatsApp,44027.38,7.71,4697,72.9,738,0.0699,66,35540.9,342411.3,0.1169
2022-06-02,Instagram,40535.1,5.21,3748,75.87,947,0.0749,1,24981.93,284360.76,0.1419
2022-06-03,Instagram,34019.04,2.45,2908,135.47,1401,0.1417,37,115550.71,393946.76,0.1992
2022-06-04,Google Ads,31438.94,2.69,3431,103.48,159,0.1074,39,70690.33,355039.88,0.0901
2022-06-05,Instagram,16169.21,5.79,2278,166.14,759,0.043,55,38634.69,378466.92,0.1069
2022-06-06,Rádio,40912.33,6.02,897,131.87,2968,0.0781,87,138345.78,118287.39,0.0243
2022-06-07,Outdoor,25325.02,2.78,2946,115.0,1210,0.0727,20,61563.98,338790.0,0.168
2022-06-08,WhatsApp,4009.13,3.09,1029,194.45,698,0.1203,81,83806.44,200089.05,0.0286
2022-06-09,Instagram,15986.73,7.93,4918,108.61,2446,0.1258,34,129380.88,534143.98,0.1874
2022-06-10,Google Ads,46797.21,1.26,3191,110.09,2053,0.0461,74,125839.38,351297.19,0.0762
2022-06-11,Rádio,42608.67,3.53,2362,149.87,2560,0.1241,74,97503.28,353992.94,0.0741
2022-06-12,Facebook Ads,49104.33,0.97,1433,171.42,1716,0.031,66,133850.45,245644.86,0.0724
2022-06-13,Outdoor,31585.67,6.66,1374,143.93,1577,0.1156,59,143054.23,197759.82,0.1906
2022-06-14,Outdoor,12751.75,1.19,4683,154.79,2982,0.0411,22,140591.55,724881.57,0.1962
2022-06-15,WhatsApp,8559.34,5.56,3580,105.94,1963,0.0482,64,55606.06,379265.2,0.1949
2022-06-16,Outdoor,9752.26,0.92,3442,121.92,295,0.1286,62,62589.81,419648.64,0.1439
2022-06-17,Instagram,1479.89,5.55,1317,79.56,1658,0.0659,22,39873.06,104780.52,0.0311
2022-06-18,Google Ads,19838.76,6.82,1564,152.04,847,0.1486,85,126340.33,237790.56,0.0834
2022-06-19,Outdoor,9975.67,3.49,4508,83.22,2967,0.027,41,22664.57,375155.76,0.065
2022-06-20,Outdoor,20876.95,4.42,4274,50.19,1123,0.0722,93,56487.09,214512.06,0.1446
2022-06-21,Facebook Ads,46782.22,3.51,4870,190.06,2913,0.1112,63,6411.31,925592.2,0.1036
2022-06-22,Facebook Ads,21811.74,2.75,113,95.9,564,0.0058,65,91223.71,10836.7,0.1271
2022-06-23,TV,43960.23,6.52,2393,79.49,2323,0.027,80,100465.72,190219.57,0.0117
2022-06-24,Rádio,30472.49,2.54,2145,90.22,2675,0.008,40,41103.19,193521.9,0.1587
2022-06-25,Instagram,12733.01,5.92,1137,99.57,555,0.149,19,111825.94,113211.09,0.1909
2022-06-26,Outdoor,18114.81,2.05,4228,121.18,204,0.1153,8,60322.83,512349.04,0.1372
2022-06-27,Outdoor,4654.02,2.37,1559,60.4,2056,0.0592,56,50198.11,94163.6,0.1719
2022-06-28,Google Ads,17006.4,3.02,356,57.9,1947,0.0277,74,143643.99,20612.4,0.1009
2022-06-29,TV,34038.28,4.92,4229,93.94,1553,0.0181,16,90360.41,397272.26,0.0138
2022-06-30,Rádio,4069.5,3.91,4173,94.36,160,0.0821,77,41586.31,393764.28,0.1982
2022-07-01,TV,10667.37,6.09,1383,67.65,2580,0.1465,81,147570.11,93559.95,0.0212
2022-07-02,WhatsApp,19381.33,2.1,3587,110.72,2905,0.1028,17,61194.7,397152.64,0.0466
2022-07-03,Rádio,49111.45,0.58,2284,92.6,2371,0.0579,62,98935.32,211498.4,0.02
2022-07-04,Outdoor,39350.66,6.32,458,53.91,2252,0.0776,71,109958.82,24690.78,0.1287
2022-07-05,Outdoor,36807.59,6.66,3891,182.86,1724,0.1498,92,66232.89,711508.26,0.1208
2022-07-06,Rádio,6251.45,0.95,4949,182.9,1240,0.0802,71,82707.93,905172.1,0.0498
2022-07-07,Outdoor,39159.3,5.08,3287,81.38,1092,0.1448,25,39768.38,267496.06,0.1918
2022-07-08,Instagram,39370.81,3.34,4599,74.43,2442,0.0074,91,72544.15,342303.57,0.1836
2022-07-09,Rádio,30254.58,6.45,1325,132.09,2832,0.1095,71,50066.01,175019.25,0.0632
2022-07-10,TV,49522.91,7.06,2397,144.61,2666,0.0959,83,84381.4,346630.17,0.1352
2022-07-11,Rádio,16600.07,6.88,377,193.63,1971,0.1044,71,102134.1,72998.51,0.1725
2022-07-12,Outdoor,47092.99,6.33,4307,106.6,343,0.0877,77,94030.75,459126.2,0.0784
2022-07-13,Instagram,45779.19,2.52,2086,142.73,2742,0.0114,12,117623.93,297734.78,0.0582
2022-07-14,Instagram,1068.29,6.59,3644,181.73,1535,0.0267,16,11021.85,662224.12,0.0587
2022-07-15,WhatsApp,22780.77,4.5,2893,117.49,387,0.1387,25,16396.53,339898.57,0.1659
2022-07-16,TV,48866.66,0.9,491,68.35,1877,0.0388,5,34770.55,33559.85,0.098
2022-07-17,Facebook Ads,5604.51,3.93,1068,106.62,2549,0.149,80,147941.37,113870.16,0.1459
2022-07-18,Facebook Ads,27615.34,7.57,2290,70.49,2441,0.1035,3,121038.87,161422.1,0.1336
2022-07-19,Rádio,48958.4,7.16,2328,52.5,766,0.0694,88,138997.55,122220.0,0.0682
2022-07-20,WhatsApp,27997.02,1.27,2726,162.73,680,0.1384,6,44453.1,443601.98,0.0495
2022-07-21,Google Ads,9895.86,6.08,2945,85.76,814,0.1203,16,88209.19,252563.2,0.0339
2022-07-22,Rádio,29318.07,6.54,4464,50.3,134,0.0672,85,85458.3,224539.2,0.0145
2022-07-23,WhatsApp,10619.81,2.54,3407,180.86,786,0.0149,91,87580.25,616190.02,0.0254
2022-07-24,TV,26225.36,4.04,2700,116.57,2757,0.1309,49,109047.21,314739.0,0.0587
2022-07-25,TV,4165.09,5.83,2780,85.83,1462,0.1159,5,62127.1,238607.4,0.1456
2022-07-26,TV,30471.39,3.79,4470,89.42,276,0.1197,29,103195.5,399707.4,0.0394
2022-07-27,TV,26081.1,1.35,4938,86.08,1357,0.113,73,119323.37,425063.04,0.1094
2022-07-28,TV,37137.99,5.79,185,79.18,158,0.045,55,46915.62,14648.3,0.0566
2022-07-29,WhatsApp,31719.67,7.34,3234,176.18,184,0.1295,38,142132.76,569766.12,0.1072
2022-07-30,WhatsApp,27705.51,5.39,4599,75.55,987,0.0053,13,80116.96,347454.45,0.1525
2022-07-31,Instagram,34644.05,6.3,2339,134.28,340,0.0394,53,111250.59,314080.92,0.0605
2022-08-01,Facebook Ads,7625.12,3.19,3464,61.6,1875,0.0118,21,110694.11,213382.4,0.0761
2022-08-02,Outdoor,29970.3,1.87,2145,192.43,1786,0.021,56,86960.28,412762.35,0.1474
2022-08-03,TV,9019.47,5.32,1154,140.5,1702,0.0822,40,51789.14,162137.0,0.1138
2022-08-04,Google Ads,46313.35,2.96,3501,185.47,1917,0.0104,89,101706.22,649330.47,0.028
2022-08-05,Outdoor,3882.54,6.95,3829,109.68,2919,0.0313,9,17656.31,419964.72,0.154
2022-08-06,WhatsApp,21803.55,1.42,2769,171.6,2491,0.0387,1,147308.13,475160.4,0.0627
2022-08-07,Google Ads,34941.98,3.75,375,178.05,76,0.1,66,31679.6,66768.75,0.0832
2022-08-08,Google Ads,23172.1,3.48,4846,155.44,2110,0.073,47,44936.8,753262.24,0.0566
2022-08-09,Google Ads,5058.72,7.54,4190,63.94,603,0.0715,41,143393.67,267908.6,0.1132
2022-08-10,Instagram,27892.26,1.65,1205,52.41,982,0.1164,10,32048.5,63154.05,0.1445
2022-08-11,WhatsApp,32260.78,0.57,4781,75.28,2542,0.0712,73,29663.44,359913.68,0.1626
2022-08-12,Google Ads,35337.72,2.29,3032,67.71,2321,0.0555,11,121657.72,205296.72,0.1852
2022-08-13,TV,18976.36,6.65,228,158.77,2118,0.1446,13,41436.78,36199.56,0.0783
2022-08-14,Rádio,28401.17,2.07,4451,133.55,1721,0.0062,29,18735.36,594431.05,0.1872
2022-08-15,Google Ads,22808.98,2.31,4426,128.89,1399,0.0493,59,37863.24,570467.14,0.1272
2022-08-16,Instagram,33766.77,1.47,3668,87.93,1806,0.0934,76,133814.17,322527.24,0.084
2022-08-17,Outdoor,29386.07,5.87,2502,73.19,516,0.1185,29,45646.28,183121.38,0.1786
2022-08-18,WhatsApp,26524.93,1.02,1747,80.98,1298,0.1234,37,105783.77,141472.06,0.1201
2022-08-19,Instagram,12851.46,2.98,3656,110.04,2750,0.0117,74,62295.19,402306.24,0.0963
2022-08-20,Google Ads,599.92,2.62,3991,161.02,1548,0.1078,64,43007.22,642630.82,0.0122
2022-08-21,WhatsApp,9117.04,4.66,2293,88.18,667,0.1094,90,25886.87,202196.74,0.1463
2022-08-22,Rádio,6294.77,5.98,2147,154.79,2877,0.036,46,145967.8,332334.13,0.0247
2022-08-23,Google Ads,22729.69,4.5,3204,123.73,507,0.0214,38,80561.75,396430.92,0.065
2022-08-24,Instagram,30806.78,7.48,4455,182.82,2737,0.1137,48,21639.47,814463.1,0.1927
2022-08-25,Facebook Ads,11047.71,7.64,2234,84.94,1286,0.0412,72,33828.03,189755.96,0.0395
2022-08-26,TV,46983.33,3.21,942,117.63,2760,0.0052,57,64058.08,110807.46,0.0692
2022-08-27,Outdoor,830.77,6.33,2071,64.5,1010,0.0374,89,83904.73,133579.5,0.1871
2022-08-28,Instagram,38728.9,6.04,4460,100.27,1554,0.0095,88,31360.54,447204.2,0.0742
2022-08-29,WhatsApp,31447.64,7.2,4003,126.03,229,0.0411,16,45270.61,504498.09,0.0724
2022-08-30,Google Ads,18990.96,3.86,3713,159.91,2635,0.0536,5,118637.42,593745.83,0.1331
2022-08-31,TV,2999.2,4.48,491,79.71,2624,0.0444,14,65534.83,39137.61,0.035
2022-09-01,Google Ads,31560.59,3.62,2379,82.71,2119,0.1384,66,5203.34,196767.09,0.1948
2022-09-02,WhatsApp,19587.87,6.88,1000,144.74,1418,0.0387,94,12821.34,144740.0,0.0623
2022-09-03,Google Ads,46845.22,2.22,4783,107.37,2674,0.0728,27,68702.62,513550.71,0.1593
2022-09-04,Facebook Ads,27328.51,2.3,2594,122.31,812,0.1438,72,13717.07,317272.14,0.0646
2022-09-05,TV,47012.75,3.29,1252,175.42,971,0.1325,43,30216.14,219625.84,0.0623
2022-09-06,TV,11413.94,2.23,1394,124.86,794,0.0498,17,110542.08,174054.84,0.0209
2022-09-07,WhatsApp,36423.43,4.71,565,147.87,1481,0.0523,31,74655.65,83546.55,0.0327
2022-09-08,Outdoor,31053.83,1.51,2275,148.52,1560,0.091,82,74956.98,337883.0,0.1092
2022-09-09,Facebook Ads,37100.71,2.9,3345,170.54,1489,0.1381,68,91741.62,570456.3,0.1196
2022-09-10,Instagram,11126.06,7.35,587,145.72,1345,0.0064,43,119335.21,85537.64,0.165
2022-09-11,Google Ads,33417.23,3.57,3038,59.72,2769,0.062,69,27994.96,181429.36,0.0214
2022-09-12,Rádio,25153.0,6.11,2726,101.33,686,0.1282,62,30091.9,276225.58,0.0777
2022-09-13,Google Ads,37269.84,1.35,1049,198.4,1073,0.0645,75,22603.56,208121.6,0.048
2022-09-14,Google Ads,16688.71,2.36,4601,79.48,201,0.1094,57,140840.25,365687.48,0.078
2022-09-15,Instagram,44557.82,6.56,1149,138.01,62,0.1053,46,88707.08,158573.49,0.0773
2022-09-16,Google Ads,4672.92,6.22,4175,176.44,764,0.0348,16,18432.86,736637.0,0.0773
2022-09-17,Facebook Ads,40455.87,3.4,4559,137.98,298,0.0702,38,36993.61,629050.82,0.0688
2022-09-18,Facebook Ads,43135.32,7.66,1490,105.84,1194,0.0871,58,110210.56,157701.6,0.1552
