ID_Botijao,Data,Hora,Estoque_Atual,Total_Distribuido,Distribuicao_Diaria,Limite_Reposicao,Capacidade_Botijao,Taxa_Uso_Diario,Previsao_Esgotamento_Dias,Tipo_Cliente,Custo_Reposicao,Preco_Venda,Margem_Lucro,Rota_Entrega,Tempo_Entrega,Distancia_Percorrida,Tipo_Produto,Marca_Produto,Região_Atendimento,Canal_Venda,Programa_Fidelidade,Temperatura,Satisfacao_Cliente,Tempo_Espera,Metodo_Pagamento
F5707,2025-01-03,19:07,284,846,68,231,190kg,0.38,4.8,Industrial,74.31,166.89,36.67,Amazonas-Rota-04,39,93.2,GLP Residencial,Fogás,Amazonas,Revenda,88,18.6,3,6.3,PIX
F8848,2025-01-03,08:11,100,990,64,108,45kg,0.24,3.1,Residencial,79.31,195.13,30.29,Amapá-Rota-07,49,83.5,GLP Industrial,Fogás,Amapá,Venda Direta,721,19.2,2,28.5,Dinheiro
F1329,2025-01-03,12:51,226,297,90,198,20kg,0.41,1.5,Residencial,128.98,192.23,10.22,Acre-Rota-09,101,16.2,GLP Comercial,Fogás,Acre,Revenda,505,20.6,4,33.3,Dinheiro
F8403,2025-01-03,06:55,189,976,79,246,20kg,0.5,9.8,Comercial,105.33,190.96,44.75,Amapá-Rota-03,41,8.5,GLP Comercial,Fogás,Amapá,Revenda,713,20.3,4,4.2,Boleto
F4555,2025-01-03,12:28,76,211,56,245,190kg,0.28,4.5,Industrial,77.17,187.24,33.43,Rondônia-Rota-02,19,84.2,GLP Granel,Fogás,Rondônia,E-commerce,297,22.5,2,43.0,Boleto
F8377,2025-01-03,07:15,107,944,77,141,45kg,0.13,6.3,Condomínio,119.27,122.44,39.37,Rondônia-Rota-02,93,98.8,GLP Granel,Fogás,Rondônia,Revenda,910,19.6,5,7.8,Cartão
F6753,2025-01-03,07:33,92,961,52,225,45kg,0.55,2.0,Comercial,139.21,127.62,16.97,Amapá-Rota-05,117,15.5,GLP Comercial,Ultragaz,Amapá,Revenda,611,19.9,2,19.0,Cartão
F6906,2025-01-03,10:26,96,410,91,151,190kg,0.21,8.7,Residencial,128.23,199.97,29.87,Amazonas-Rota-01,46,88.0,GLP Industrial,Fogás,Amazonas,Revenda,276,20.8,1,18.7,PIX
F5107,2025-01-03,21:40,201,762,84,101,45kg,0.44,5.8,Industrial,136.42,105.0,31.5,Amapá-Rota-01,39,16.4,GLP Industrial,Fogás,Amapá,Revenda,576,21.9,3,23.5,Boleto
F4182,2025-01-03,13:46,61,293,78,124,13kg,0.46,1.9,Residencial,111.56,117.4,41.53,Roraima-Rota-03,105,50.1,GLP Comercial,Fogás,Roraima,Venda Direta,71,20.3,5,23.5,Boleto
F3385,2025-01-03,20:22,70,380,20,291,45kg,0.37,5.4,Comercial,124.1,92.24,12.96,Roraima-Rota-01,67,92.3,GLP Industrial,Fogás,Roraima,Revenda,561,19.7,1,18.5,Dinheiro
F5892,2025-01-03,10:14,182,326,52,213,190kg,0.29,7.0,Comercial,83.37,191.0,26.14,Roraima-Rota-02,33,14.7,GLP Industrial,Fogás,Roraima,Venda Direta,595,21.7,1,30.0,PIX
F2095,2025-01-03,18:33,475,702,35,201,45kg,0.3,3.8,Industrial,77.34,92.89,43.12,Amazonas-Rota-04,28,22.9,GLP Residencial,Fogás,Amazonas,Revenda,366,19.5,2,24.3,PIX
F1991,2025-01-03,08:13,122,780,50,188,190kg,0.33,3.0,Condomínio,77.8,179.22,45.8,Rondônia-Rota-06,86,63.1,GLP Residencial,Fogás,Rondônia,Venda Direta,74,20.9,5,22.3,PIX
F6585,2025-01-03,12:36,344,561,58,239,13kg,0.2,9.2,Comercial,112.07,172.45,19.12,Rondônia-Rota-06,49,19.9,GLP Granel,Fogás,Rondônia,Revenda,804,19.9,5,2.1,Dinheiro
F4868,2025-01-03,15:22,162,789,98,209,13kg,0.38,5.8,Residencial,89.47,141.76,25.93,Amapá-Rota-03,15,70.7,GLP Granel,Fogás,Amapá,Revenda,684,21.0,4,22.0,Dinheiro
F5460,2025-01-03,11:50,366,348,38,173,190kg,0.13,9.5,Residencial,143.83,139.85,26.26,Acre-Rota-08,119,43.3,GLP Granel,Fogás,Acre,Venda Direta,60,21.9,1,47.1,Dinheiro
F5275,2025-01-03,20:24,333,875,77,213,190kg,0.46,9.9,Residencial,83.79,110.14,21.87,Amapá-Rota-05,17,82.2,GLP Comercial,Fogás,Amapá,Venda Direta,976,22.6,3,9.3,Dinheiro
F6689,2025-01-03,14:55,205,840,34,110,45kg,0.14,1.0,Residencial,90.12,153.34,29.05,Acre-Rota-04,85,6.4,GLP Industrial,Fogás,Acre,E-commerce,552,21.3,3,30.1,Dinheiro
F3567,2025-01-03,07:45,398,928,96,164,45kg,0.56,7.8,Residencial,111.98,148.18,34.71,Acre-Rota-05,68,54.7,GLP Industrial,Fogás,Acre,Venda Direta,507,22.3,2,35.0,Cartão
F7009,2025-01-03,08:29,281,474,77,197,45kg,0.51,3.7,Residencial,85.89,166.68,16.32,Rondônia-Rota-03,103,46.4,GLP Industrial,Fogás,Rondônia,Revenda,245,19.0,5,31.9,Dinheiro
F5781,2025-01-03,17:27,477,765,82,182,20kg,0.13,6.8,Condomínio,104.24,158.07,38.8,Acre-Rota-09,69,22.5,GLP Granel,Fogás,Acre,Revenda,100,20.0,4,16.6,Cartão
F4259,2025-01-03,11:19,99,687,62,237,20kg,0.35,3.4,Residencial,100.75,169.82,17.74,Rondônia-Rota-02,119,41.7,GLP Residencial,Fogás,Rondônia,Venda Direta,419,20.2,1,7.9,Boleto
F9559,2025-01-03,14:52,415,699,67,121,20kg,0.15,7.7,Comercial,108.42,107.39,46.87,Amazonas-Rota-06,42,79.5,GLP Industrial,Fogás,Amazonas,E-commerce,675,18.7,3,27.5,Boleto
F5285,2025-01-03,19:05,374,533,56,228,190kg,0.39,6.3,Residencial,114.65,162.99,33.9,Roraima-Rota-06,98,98.9,GLP Residencial,Fogás,Roraima,Revenda,780,19.4,1,31.7,Dinheiro
F8116,2025-01-03,21:19,390,637,83,106,13kg,0.12,8.8,Industrial,77.67,175.35,49.39,Amapá-Rota-07,113,16.5,GLP Granel,Fogás,Amapá,E-commerce,232,20.9,2,3.5,Dinheiro
F3212,2025-01-03,19:56,160,245,23,231,13kg,0.34,7.1,Residencial,72.1,113.64,20.2,Amazonas-Rota-07,35,58.6,GLP Industrial,Fogás,Amazonas,E-commerce,288,21.9,3,30.4,Boleto
F2462,2025-01-04,20:41,248,228,22,170,45kg,0.18,7.0,Industrial,108.43,178.47,42.4,Amapá-Rota-02,110,91.6,GLP Granel,Fogás,Amapá,Revenda,555,33.1,5,10.0,Dinheiro
F1201,2025-01-04,14:34,276,527,54,201,20kg,0.17,1.5,Residencial,71.14,115.03,15.52,Amazonas-Rota-05,15,69.2,GLP Comercial,Fogás,Amazonas,Venda Direta,688,34.7,5,25.3,PIX
F1815,2025-01-04,13:30,151,489,70,154,190kg,0.42,6.6,Industrial,92.21,158.09,19.33,Roraima-Rota-05,67,80.4,GLP Granel,Fogás,Roraima,Venda Direta,813,33.6,2,5.1,PIX
F1716,2025-01-04,16:39,391,980,39,120,45kg,0.15,1.3,Residencial,88.35,164.13,13.36,Amazonas-Rota-07,54,62.3,GLP Granel,Fogás,Amazonas,Venda Direta,720,34.4,3,7.6,PIX
F7536,2025-01-04,19:20,124,789,42,205,190kg,0.12,6.2,Industrial,144.75,113.16,31.37,Rondônia-Rota-02,49,99.1,GLP Comercial,Fogás,Rondônia,Revenda,652,33.1,1,5.1,Boleto
F3832,2025-01-04,13:56,372,499,92,157,13kg,0.47,5.3,Residencial,83.04,107.58,22.07,Roraima-Rota-06,71,23.7,GLP Comercial,Ultragaz,Roraima,E-commerce,907,32.6,4,15.1,Dinheiro
F4739,2025-01-04,17:23,393,753,34,197,190kg,0.51,1.1,Residencial,109.97,128.44,21.37,Rondônia-Rota-04,109,16.3,GLP Residencial,Fogás,Rondônia,Revenda,21,31.4,2,39.9,Dinheiro
F6962,2025-01-04,16:27,160,822,92,252,20kg,0.16,2.3,Residencial,117.33,103.47,10.21,Amapá-Rota-02,82,9.4,GLP Industrial,Fogás,Amapá,Venda Direta,841,33.6,4,42.6,Cartão
F5734,2025-01-04,08:04,132,488,64,273,190kg,0.27,3.5,Comercial,102.15,138.63,43.84,Roraima-Rota-09,82,52.8,GLP Industrial,Fogás,Roraima,Venda Direta,329,33.2,1,34.8,PIX
F2199,2025-01-04,14:58,121,284,82,131,13kg,0.53,5.3,Condomínio,93.26,183.4,11.79,Amazonas-Rota-01,110,18.4,GLP Industrial,Fogás,Amazonas,Revenda,361,32.9,3,35.7,Cartão
F4651,2025-01-04,10:09,435,988,23,124,190kg,0.11,2.2,Residencial,123.09,162.42,25.74,Acre-Rota-03,108,10.6,GLP Granel,Fogás,Acre,Venda Direta,539,32.0,3,38.4,Dinheiro
F7797,2025-01-04,14:56,143,402,92,221,20kg,0.49,6.5,Industrial,120.86,144.83,22.62,Rondônia-Rota-06,32,39.7,GLP Comercial,Fogás,Rondônia,Revenda,800,32.6,1,12.3,Boleto
F7118,2025-01-04,11:47,361,444,22,115,13kg,0.31,8.8,Residencial,74.24,114.18,41.58,Amapá-Rota-02,87,56.3,GLP Comercial,Fogás,Amapá,Revenda,977,31.8,2,22.2,Boleto
F6095,2025-01-04,17:25,257,337,47,256,45kg,0.13,7.4,Condomínio,114.68,193.66,12.04,Rondônia-Rota-02,110,32.8,GLP Granel,Ultragaz,Rondônia,Revenda,54,33.3,4,22.8,PIX
F6707,2025-01-04,12:58,112,292,90,145,45kg,0.56,5.1,Residencial,92.43,113.67,13.12,Acre-Rota-06,36,22.7,GLP Comercial,Fogás,Acre,Revenda,163,32.1,5,22.2,Cartão
F4943,2025-01-04,10:20,415,517,96,203,190kg,0.21,9.3,Condomínio,116.75,197.75,20.91,Amapá-Rota-04,30,79.0,GLP Granel,Fogás,Amapá,Venda Direta,233,34.6,4,0.4,PIX
F4284,2025-01-04,15:59,86,363,30,135,45kg,0.27,6.0,Industrial,130.1,113.47,20.84,Amapá-Rota-09,109,27.7,GLP Industrial,Ultragaz,Amapá,Revenda,99,32.3,5,32.3,Cartão
F4444,2025-01-04,19:48,393,364,62,264,190kg,0.29,2.2,Residencial,72.15,128.88,15.57,Acre-Rota-07,48,7.6,GLP Industrial,Fogás,Acre,Revenda,624,31.6,2,2.5,Cartão
F5759,2025-01-04,15:28,163,456,63,191,13kg,0.13,9.4,Industrial,139.5,109.4,20.22,Rondônia-Rota-06,80,45.5,GLP Residencial,Fogás,Rondônia,Revenda,470,32.5,2,35.2,Cartão
F3810,2025-01-04,13:48,448,700,33,180,190kg,0.28,6.0,Residencial,132.44,138.56,35.1,Amapá-Rota-04,95,99.2,GLP Industrial,Fogás,Amapá,Venda Direta,460,34.0,1,20.1,Boleto
F6594,2025-01-04,20:23,86,401,28,214,45kg,0.15,6.3,Industrial,86.5,162.43,21.63,Rondônia-Rota-07,27,80.6,GLP Granel,Fogás,Rondônia,Revenda,395,35.3,5,20.1,PIX
F5601,2025-01-05,11:00,261,202,61,103,45kg,0.24,9.2,Residencial,121.32,141.01,26.86,Amazonas-Rota-03,20,83.5,GLP Granel,Fogás,Amazonas,Revenda,206,30.0,5,1.2,Boleto
